Rating,Name,Genres,Year/Country,URL
8.6,Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,"приключения, криминал, мистика","1981, СССР",https://www.kinoafisha.info/movies/8363439/
8.6,"Ну, погоди!","короткометражный, анимация","1969, СССР",https://www.kinoafisha.info/movies/7943086/
8.5,Трое из Простоквашино,"семейный, анимация, короткометражный","1978, СССР",https://www.kinoafisha.info/movies/7590582/
8.5,Место встречи изменить нельзя,"криминал, детектив, боевик","1979, СССР",https://www.kinoafisha.info/movies/7731595/
8.5,Джентльмены удачи,"криминал, комедия","1971, СССР",https://www.kinoafisha.info/movies/5435753/
8.5,Бриллиантовая рука,"комедия, приключения, криминал","1968, СССР",https://www.kinoafisha.info/movies/5425175/
8.4,Человек с киноаппаратом,документальный,"1929, СССР",https://www.kinoafisha.info/movies/4871391/
8.4,Иван Васильевич меняет профессию,"комедия, фантастика","1973, СССР",https://www.kinoafisha.info/movies/1624187/
8.4,Ханума,"комедия, мюзикл","1978, СССР",https://www.kinoafisha.info/movies/8363322/
8.4,Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,"криминал, драма, мистика","1980, СССР",https://www.kinoafisha.info/movies/8363334/
8.3,А зори здесь тихие,"исторический, драма, военный","1972, СССР",https://www.kinoafisha.info/movies/7714889/
8.3,12 стульев,"комедия, детектив","1976, СССР",https://www.kinoafisha.info/movies/8328344/
8.3,Любовь и голуби,"комедия, мелодрама","1984, СССР",https://www.kinoafisha.info/movies/5920923/
8.3,Шведская спичка,комедия,"1954, СССР",https://www.kinoafisha.info/movies/5491360/
8.2,Весна на Заречной улице,мелодрама,"1956, СССР",https://www.kinoafisha.info/movies/8121837/
8.2,Служебный роман,"мелодрама, комедия","1977, СССР",https://www.kinoafisha.info/movies/5617111/
8.2,Баллада о солдате,"драма, военный, мелодрама","1959, СССР",https://www.kinoafisha.info/movies/1484003/
8.2,Обыкновенное чудо,"мюзикл, комедия, мелодрама, сказка","1978, СССР",https://www.kinoafisha.info/movies/8167280/
8.2,Мимино,комедия,"1978, СССР",https://www.kinoafisha.info/movies/7687770/
8.1,Безымянная звезда,"драма, комедия","1978, СССР",https://www.kinoafisha.info/movies/8365451/
8.1,Сибириада,"драма, военный, исторический","1978, СССР",https://www.kinoafisha.info/movies/8328683/
8.1,Свадьба,"комедия, мелодрама","1944, СССР",https://www.kinoafisha.info/movies/8327291/
8.1,"Добро пожаловать, или Посторонним вход воспрещен","семейный, комедия","1964, СССР",https://www.kinoafisha.info/movies/1853092/
8.1,Ежик в тумане,детский,"1975, СССР",https://www.kinoafisha.info/movies/7687159/
8.1,Неотправленное письмо,драма,"1959, СССР",https://www.kinoafisha.info/movies/7817851/
8.1,Я шагаю по Москве,"мелодрама, комедия","1963, СССР",https://www.kinoafisha.info/movies/2106407/
8.1,Я купил папу,"комедия, семейный","1963, СССР",https://www.kinoafisha.info/movies/8358116/
8.1,Броненосец «Потемкин»,"драма, военный, исторический","1925, СССР",https://www.kinoafisha.info/movies/6450507/
8.1,Волк и теленок,"семейный, анимация, сказка","1984, СССР",https://www.kinoafisha.info/movies/7667680/
8.1,Тайна третьей планеты,"анимация, приключения, семейный, фантастика","1981, СССР",https://www.kinoafisha.info/movies/2086732/
8.0,Офицеры,"драма, мелодрама","1971, СССР",https://www.kinoafisha.info/movies/7862549/
